node,in_strength_children,out_strength_children,betweenness
KHIEAST,43242.0,1394.0,0.003787878787878788
KHIWEST,29952.0,1307.0,0.006628787878787879
HYDERABAD,19699.0,6467.0,0.00946969696969697
KHIKEAMARI,19340.0,0.0,0.0
KHIMALIR,15506.0,0.0,0.0
THATTA,7077.0,4202.0,0.001893939393939394
SUKKUR,6510.0,4961.0,0.0
KHISOUTH,5368.0,0.0,0.0
BADIN,4298.0,11226.0,0.0
DADU,4180.0,5543.0,0.0
SBENAZIRABAD,3191.0,1482.0,0.0
JAMSHORO,2763.0,1302.0,0.0
UMERKOT,2479.0,3860.0,0.0
LARKANA,2397.0,5475.0,0.0
KHICENTRAL,2341.0,3471.0,0.0
T.ALLAHYAR,2289.0,2289.0,0.0
GHOTKI,1918.0,1918.0,0.0
KHIKORANGI,1550.0,1672.0,0.0
JACOBABAD,1392.0,0.0,0.0
SANGHAR,1381.0,0.0,0.0
KHAIRPUR,1350.0,1350.0,0.0
SHIKARPUR,1335.0,1335.0,0.0
PESHAWAR,0.0,33284.0,0.0
QUETTA,0.0,31744.0,0.0
BAJOUR,0.0,14584.0,0.0
WAZIR-N,0.0,11039.0,0.0
WAZIR-S UPPER,0.0,8562.0,0.0
WAZIR-S LOWER,0.0,7075.0,0.0
BANNU,0.0,3894.0,0.0
RYKHAN,0.0,2829.0,0.0
MOHMAND,0.0,2367.0,0.0
THARPARKAR,0.0,1709.0,0.0
TMKHAN,0.0,1702.0,0.0
SUJAWAL,0.0,1515.0,0.0
